title,year,director,genre,producer,country,actors,length,budget
Джанго освобождённый,2012,Квентин Тарантино,"драма,вестерн",", ,, ,, ,, ,, ",,"Джейми Фокс,Кристоф Вальц,Леонардо Ди Каприо,Керри Вашингтон,Сэмюэл Л. Джексон,Уолтон Гоггинс,Деннис Кристофер,Джеймс Ремар,Майкл Паркс,Дон Джонсон",165 мин.,100 млн 
Помни,2000,Кристофер Нолан,"фильм-тайна,триллер","Дженнифер Тодд,ru,Сюзанн Тодд,ru",[3],"Гай Пирс,Керри-Энн Мосс,Джо Пантолиано",113 мин,9 млн 
Апокалипсис сегодня,1979,Фрэнсис Форд Коппола,"драма,фильм-тайна,военный фильм",,США,"Марлон Брандо,Роберт Дюваль,Мартин Шин,Фредерик Форрест,Лоренс Фишберн,Сэм Боттомс,Альберт Холл,Деннис Хоппер",,31 млн 
Огни большого города,1931,Чарли Чаплин,"кинокомедия,драма,романтический фильм",,США,Вирджиния Черрилл,87 мин,"1,5 млн "
Индиана Джонс: В поисках утраченного ковчега,1981,Стивен Спилберг,"боевик,приключение",,,"Харрисон Форд,Карен Аллен",115 мин.,20 млн долл.
Чужой,1979,Ридли Скотт,"хоррор,научная фантастика",,[2],"Том Скерритт,Сигурни Уивер,Вероника Картрайт,Гарри Дин Стэнтон,Джон Хёрт,Иэн Холм,Яфет Котто",Театральная версия:,11 млн
Окно во двор,1954,Альфред Хичкок,"фильм-тайна,триллер",,США,"Джеймс Стюарт,Грейс Келли,Телма Риттер",112 мин,$ 1 млн.
Новый кинотеатр «Парадизо»,1988,Джузеппе Торнаторе,"драма,романтический фильм",,Италия,"Филипп Нуаре,Жак Перрен",124-174 мин.,5 000 000 $
Однажды на Диком Западе,1968,Серджо Леоне,вестерн,Бино Чиконья,,"Чарлз Бронсон,Генри Фонда,Клаудия Кардинале",165 мин.,5 000 000 $
Новые времена,1936,Чарли Чаплин,"кинокомедия,драма,романтический фильм",Чарльз Чаплин,,Полетт Годдар,87 мин.,"1,5 млн "
1+1,2011,Оливье Накаш,"байопик,кинокомедия,драма","Николя Дюваль-Адассовски,Лоран Зейтун,Ян Зену",,"Франсуа Клюзе,Омар Си",112 мин,$ 11 500 000
Харакири,1962,Масаки Кобаяси,"боевик,драма,фильм-тайна",,,"Тацуя Накадай,Рэнтаро Микуни,Сима Ивасита,Тэцуро Тамба",133 мин.,
Могила светлячков,1988,Исао Такахата,"мультфильм,драма,военный фильм",,,,,
Касабланка,1942,Майкл Кёртиц,"драма,романтический фильм,военный фильм",,США,"Хамфри Богарт,Ингрид Бергман,Клод Рейнс",102 мин,"0,95 млн. "
Подозрительные лица,1995,Брайан Сингер,"детектив,драма,фильм-тайна",,США,"Гэбриэл Бирн,Стивен Болдуин,Кевин Поллак,Кевин Спейси,Бенисио дель Торо",106 мин,6 000 000 
Престиж,2006,Кристофер Нолан,"драма,фильм-тайна,научная фантастика","Аарон Райдер,ru,Кристофер Нолан,Аарон Райдер",,"Хью Джекман,Кристиан Бейл,Скарлетт Йоханссон,Майкл Кейн,Дэвид Боуи",130 мин.,40 млн. 
